"Get coupon";"Get coupon"
"Resend coupon";"Resend coupon"
"View coupon";"View coupon"
"coupon of the Day";"coupon of the Day"
"Hot coupons";"Hot coupons"
"Upcoming";"Upcoming"
"Most Liked";"Most Liked"
"Most Viewed";"Most Viewed"
"Most Commented";"Most Commented"
"";""
"ITEM_TYPE_SITESTOREOFFER_OFFER";"Showroom coupons"
"ADMIN_ACTIVITY_TYPE_SITESTOREOFFER_ADMIN_NEW";"When Showroom admin creates a new Showroom coupon"
"ADMIN_ACTIVITY_TYPE_SITESTOREOFFER_HOME";"When someone claims a Showroom coupon."
"_ACTIVITY_ACTIONTYPE_SITESTOREOFFER_NEW";"New Showroom coupon creates by member"
"ADMIN_ACTIVITY_TYPE_SITESTOREOFFER_NEW";"When someone creates a new Showroom coupon."
"_ACTIVITY_ACTIONTYPE_SITESTOREOFFER_ADMIN_NEW";"New Showroom coupon created by Showroom admin"
"{item:$object} added a new coupon:";"{item:$object} added a new coupon:"
"_ACTIVITY_ACTIONTYPE_SITESTOREOFFER_HOME";"When a user claims an coupon."
"_EMAIL_SITESTOREOFFER_CREATENOTIFICATION_EMAIL_TITLE";"Showroom coupon Email Notification"
"_EMAIL_SITESTOREOFFER_CREATENOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and Showroom admin of the Showroom when member create a Showroom coupon in Showroom."
"_EMAIL_SITESTOREOFFER_CREATENOTIFICATION_EMAIL_SUBJECT";"[[store_title]] New coupon: [item_title]"
"_EMAIL_SITESTOREOFFER_CREATENOTIFICATION_EMAIL_BODY";"
[header]

[body_content]

[footer]"
"Store coupon Information";"Showroom coupon Information"
"{item:$subject} has created a store coupon {var:$eventname}.";"{item:$subject} has created a Showroom coupon {var:$eventname}."
"ACTIVITY_TYPE_SITESTOREOFFER_CREATE";"When a user create an coupon."
"You can add attractive coupons for your store and Page by clicking on the ""Add an coupon"" link. These coupons will appear on your Page profile. You can also select a featured coupon for your Page below, which will be shown alongside your Page's entry in the listing of all Pages of this community, and will also be shown on top of all your coupons.";"You can add attractive coupons for your Showroom and Page by clicking on the ""Add an coupon"" link. These coupons will appear on your Page profile. You can also select a featured coupon for your Page below, which will be shown alongside your Page's entry in the listing of all Pages of this community, and will also be shown on top of all your coupons."
"Delete Store coupon ?";"Delete Showroom coupon ?"
"Please enter coupon code for your coupon here. ";"Please enter coupon code for your coupon here."
"The total amount that must reached before the coupon is valid. (Enter 0 or Leave Empty in case you want coupon to be applied on all amounts.)";"The total amount that must reached before the coupon is valid. (Enter 0 or Leave Empty in case you want coupon to be applied on all amounts.)"
"Enter the minimum quantity of the products that must be available in the cart for coupon to be applied. (Enter 0 or Leave Empty in case you want coupon to be applied on any quantity of products.)";"Enter the minimum quantity of the products that must be available in the cart for coupon to be applied. (Enter 0 or Leave Empty in case you want coupon to be applied on any quantity of products.)"
"When will this coupon start?";"When will this coupon start?"
"Uses Per Coupon";"Uses Per Coupon"
