"Visit your Insights Store";"Visit your Insights Showroom"
"Use the layout editor to decide what content appears on main profile of your Store. Click and drag the colored ""blocks"" to arrange the content you want. Drag blocks to and from the ""Available Blocks"" area to add or remove them from your Store profile. Use ""HTML Blocks"" if you want to drop in raw HTML or other content.";"Use the layout editor to decide what content appears on main profile of your Showroom. Click and drag the colored ""blocks"" to arrange the content you want. Drag blocks to and from the ""Available Blocks"" area to add or remove them from your Showroom profile. Use ""HTML Blocks"" if you want to drop in raw HTML or other content."
"Note: Some blocks won\'t appear if their apps or features are not available in your package.";"Note: Some blocks won\'t appear if their apps or features are not available in your package."
"Note: Some blocks won\'t appear if their apps or features are not available to your member level.";"Note: Some blocks won\'t appear if their apps or features are not available to your member level."
"Back to Store Dashboard";"Back to Showroom Dashboard"
"Store Profile Block Placement";"Showroom Profile Block Placement"
"Select a new column layout for this store.";"Select a new column layout for this Showroom."
"and keep your current layout.";"and keep your current layout."
"Global Header";"Global Header"
"show on this store";"show on this Showroom"
"Missing widget: %s";"Missing widget: %s"
"Global Footer";"Global Footer"
"Main Content Area";"Main Content Area"
"Drop things here to add them to the global footer.";"Drop things here to add them to the global footer."
"Available Blocks";"Available Blocks"
"&#171; Previous";"&#171; Previous"
"Next &#187;";"Next &#187;"
"There are currently no enabled payment gateways. Please contact the site admin to get this issue resolved.";"There are currently no enabled payment gateways. Please contact the site admin to get this issue resolved."
"There are currently no paid packages available of the site. Please upgrade your package.";"There are currently no paid packages available of the site. Please upgrade your package."
"Processing Payment";"Processing Payment"
"Processing Request. Please wait .....";"Processing Request. Please wait ....."
"Order your Store";"Order your Showroom"
"You have created a store that requires payment. You will be taken to a secure checkout area where you can pay for your store. ";"You have created a Showroom that requires payment. You will be taken to a secure checkout area where you can pay for your Showroom. "
"Please setup your store to continue:";"Please setup your Showroom to continue:"
"Please pay a one-time fee to continue:";"Please pay a one-time fee to continue:"
"or";"or"
"Pay with %1$s";"Pay with %1$s"
"Payment Pending";"Payment Pending"
"Thank you for submitting your payment. Your payment is currently pending - your store will be activated when we are notified that the payment has completed successfully. Please return to our login store when you receive an email notifying you that the payment has completed.";"Thank you for submitting your payment. Your payment is currently pending - your Showroom will be activated when we are notified that the payment has completed successfully. Please return to our login Showroom when you receive an email notifying you that the payment has completed."
"Back to Dashboard store";"Back to Dashboard Showroom"
"Back to My Stores";"Back to My Showrooms"
"Payment Successful";"Payment Successful"
"Thank you! Your payment for your store has been completed successfully.";"Thank you! Your payment for your Showroom has been completed successfully."
"Continue to Dashboard store";"Continue to Dashboard Showroom"
"Continue to My Stores";"Continue to My Showrooms"
"Payment Failed";"Payment Failed"
"Our payment processor has notified us that your payment could not be completed successfully. We suggest that you try again with another credit card or funding source";"Our payment processor has notified us that your payment could not be completed successfully. We suggest that you try again with another credit card or funding source"
"Photo %1$s of %2$s in %3$s";"Photo %1$s of %2$s in %3$s"
"Rotate Left";"Rotate Left"
"Rotate Right";"Rotate Right"
"Flip Vertical";"Flip Vertical"
"Flip Horizontal";"Flip Horizontal"
"In this photo:";"In this photo:"
"Added";"Added"
"Tag This Photo";"Tag This Photo"
"Share";"Share"
"Download";"Download"
"Report";"Report"
"Edit";"Edit"
"Close";"Close"
"Photos of ";"Photos of "
" in ";" in "
"Photo %1$s of %2$s";"Photo %1$s of %2$s"
"Like This";"Like This"
"Unlike This";"Unlike This"
"By %1$s";"By %1$s"
"Delete This Photo";"Delete This Photo"
"Edit this caption";"Edit this caption"
"Add a caption";"Add a caption"
"Discussions";"Discussions"
"Back to Topics";"Back to Topics"
"Post Reply";"Post Reply"
"Watch Topic";"Watch Topic"
"Stop Watching Topic";"Stop Watching Topic"
"Make Sticky";"Make Sticky"
"Remove Sticky";"Remove Sticky"
"Rename";"Rename"
"This topic has been closed.";"This topic has been closed."
"Quote";"Quote"
"Posted";"Posted"
"reply";"reply";"replies"
"Last Post";"Last Post"
"by";"by"
"Reply";"Reply"
"Never Expires";"Never Expires"
"Get Started";"Get Started"
"Edit Info";"Edit Info"
"Profile Picture";"Profile Picture"
"Overview";"Overview"
"Edit Style";"Edit Style"
"&raquo; Edit Layout";"&raquo; Edit Layout"
"Location";"Location"
"Profile Info";"Profile Info"
"Manage Admins";"Manage Admins"
"Featured Admins";"Featured Admins"
"Marketing";"Marketing"
"Apps";"Apps"
"Reports";"Reports"
"Package: ";"Package: "
"Payment: ";"Payment: "
"Not made";"Not made"
"Status: ";"Status: "
"Approved ";"Approved "
"Expiration Date: ";"Expiration Date: "
"Make Payment";"Make Payment"
"Please click ";"Please click "
"here";"here"
" to renew store.";" to renew Showroom."
"The package for your Store requires payment. You have not fulfilled the payment for this Store.";"The package for your Showroom requires payment. You have not fulfilled the payment for this Showroom."
"Make payment now!";"Make payment now!"
" Click ";" Click "
" to renew it.";" to renew it."
"Your package for this Store has expired and needs to be renewed.";"Your package for this Showroom has expired and needs to be renewed."
"Your package for this Store is about to expire and needs to be renewed.";"Your package for this Showroom is about to expire and needs to be renewed."
"An error has occurred processing the request. The target may no longer exist.";"An error has occurred processing the request. The target may no longer exist."
"posted by";"posted by"
"Posted By:";"Posted By:"
"Likes:";"Likes:"
"Tags:";"Tags:"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%s Active User";"%s Active User";"%s Active Users"
"Price: ";"Price: "
"Location: ";"Location: "
"Stop Bounce";"Stop Bounce"
"Show Profile Fields.";"Show Profile Fields."
"No Profile Fields.";"No Profile Fields."
"Hide Profile Fields.";"Hide Profile Fields."
" Without Tabbed Layout";" Without Tabbed Layout"
"Views Line Color";"Views Line Color"
"Likes Line Color";"Likes Line Color"
"Stores Plugin";"Showrooms Plugin"
"Edit Thumbnail";"Edit Thumbnail"
"Apply Changes";"Apply Changes"
"Loading...";"Loading..."
"Upload complete.";"Upload complete."
"An error occurred:";"An error occurred:"
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"A required file was not found, please be patient and we'll fix this.";"A required file was not found, please be patient and we'll fix this."
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"File Upload";"File Upload"
"This form is just an example fallback for the unobtrusive behaviour of FancyUpload.If this part is not changed, something must be wrong with your code.";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload.If this part is not changed, something must be wrong with your code."
"Upload a Photo:";"Upload a Photo:"
"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo to save them to your store album.";"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo to save them to your Showroom album."
"Clear List";"Clear List"
"Add Photo";"Add Photo"
"Are you sure you want to change package for this Store? Once you change package, all the settings of this store will be applied according to the new package, including apps available, features available, price, etc.";"Are you sure you want to change package for this Showroom? Once you change package, all the settings of this Showroom will be applied according to the new package, including apps available, features available, price, etc."
"Change Package?";"Change Package?"
"Browse the tags created for stores by various members.";"Browse the tags created for Showrooms by various members."
"No one has liked this Store yet.";"No one has liked this Showroom yet."
"No one has liked this store other than you.";"No one has liked this Showroom other than you."
"Start typing...";"Start typing..."
"Terms of claiming a Store";"Terms of claiming a Showroom"
"STORE_TERMS_CLAIM_1";"By clicking the ""Send"" button, you hereby assert that you are either the owner, manager, employee or associate of the Showroom, service or interest and have the express authority to own and/or manage the Showroom on this site."
"STORE_TERMS_CLAIM_2";"The website admin reserves the right to revoke or transfer ownership of this Showroom for any reason including, but not limited to, inaccurate ownership identification, misrepresentation of Showroom information and abusive spamming activity."
"Thank you for your cooperation.";"Thank you for your cooperation."
"Do you want to remove profile photo of your Store? Doing so will set your Store's profile photo back to the default photo.";"Do you want to remove profile photo of your Showroom? Doing so will set your Showroom's profile photo back to the default photo."
"Your store has been published.";"Your Showroom has been published."
"Publish Store?";"Publish Showroom?"
"Are you sure that you want to publish this Store?";"Are you sure that you want to publish this Showroom?"
"Publish";"Publish"
"This store has been closed by the poster.";"This Showroom has been closed by the poster."
"Store Information";"Showroom Information"
"Posted On:";"Posted On:"
"Tag:";"Tag:"
"Description:";"Description:"
"Take Print";"Take Print"
"Create New Store";"Create New Showroom"
"Create a store using these quick, easy steps and get going.";"Create a Showroom using these quick, easy steps and get going."
"1. Choose a Store Package";"1. Choose a Showroom Package"
"Select a package that best matches your requirements. Packages differ in terms of features available to stores created under them. You can change your package anytime later.";"Select a package that best matches your requirements. Packages differ in terms of features available to Showrooms created under them. You can change your package anytime later."
"Create a Store";"Create a Showroom"
"Apps available";"Apps available"
"There are no packages yet.";"There are no packages yet."
"Current Package: ";"Current Package: "
"Other available Packages";"Other available Packages"
"If you want to change the package for your store, please select one package from the following list of available packages.";"If you want to change the package for your Showroom, please select one package from the following list of available packages."
"Note: Once you change package for your store, all the settings of the store will be applied according to the new package, including apps available, features available, price, etc.";"Note: Once you change package for your Showroom, all the settings of the Showroom will be applied according to the new package, including apps available, features available, price, etc."
"Change Package";"Change Package"
"There are no other packages yet.";"There are no other packages yet."
"Stores I Have Claimed";"Showrooms I Have Claimed"
"Last Action Taken: ";"Last Action Taken: "
"Name Specified: ";"Name Specified: "
"Contact Number Specified: ";"Contact Number Specified: "
"Email Specified: ";"Email Specified: "
"About You and Your Store: ";"About You and Your Showroom: "
"Your Comments: ";"Your Comments: "
"Admin Comment: ";"Admin Comment: "
"You have not claimed for any stores yet.";"You have not claimed for any Showrooms yet."
"Stores I Admin";"Showrooms I Admin"
"Dashboard";"Dashboard"
"Renew Store";"Renew Showroom"
"You do not have any stores yet.";"You do not have any Showrooms yet."
"Get started by %1$screating%2$s a new store.";"Get started by %1$screating%2$s a new Showroom."
"Marketing your Store";"Marketing your Showroom"
"Below are some effective tools to market your Store and increase its popularity.";"Below are some effective tools to market your Showroom and increase its popularity."
"Advertise on %s";"Advertise on %s"
"Popularize your Store on %s with an attractive ad.";"Popularize your Showroom on %s with an attractive ad."
"Tell your friends, fans and customers about this store and make it popular.";"Tell your friends, fans and customers about this Showroom and make it popular."
"Send updates to people who have liked your Store.";"Send updates to people who have liked your Showroom."
"'Save to my foursquare' Button";"'Save to my foursquare' Button"
"This button will enable visitors on your Store to add your place or tip to their foursquare To-Do List.";"This button will enable visitors on your Showroom to add your place or tip to their foursquare To-Do List."
"In this package not any effective tools available to market your Store.";"In this package not any effective tools available to market your Showroom."
"For this level user not any effective tools available to market your Store.";"For this level user not any effective tools available to market your Showroom."
"'Save to foursquare' Button";"'Save to foursquare' Button"
"Manage Store Admins";"Manage Showroom Admins"
"Below you can see all the admins who can administer and manage your store, like you can do. You can add new members as admins of this store and remove any existing ones. Note that admins selected by you for this store will get complete authority like you to manage this store, including deleting it. Thus you should be specific in selecting them.";"Below you can see all the admins who can administer and manage your Showroom, like you can do. You can add new members as admins of this Showroom and remove any existing ones. Note that admins selected by you for this Showroom will get complete authority like you to manage this Showroom, including deleting it. Thus you should be specific in selecting them."
"Start typing the name of the member...";"Start typing the name of the member..."
"Add as Admin";"Add as Admin"
"You have already created the maximum number of stores allowed. If you would like to create a new store, please delete an old one first.";"You have already created the maximum number of Showrooms allowed. If you would like to create a new Showroom, please delete an old one first."
"Stores I’ve Claimed";"Showrooms I’ve Claimed"
"You do not have any store which matches your search criteria.";"You do not have any Showroom which matches your search criteria."
"Manage Featured Store Admins";"Manage Featured Showroom Admins"
"Below you can select / unselect store admins as featured.";"Below you can select / unselect Showroom admins as featured."
"People Who Like This Store";"People Who Like This Showroom"
"Friends Who Like This Store";"Friends Who Like This Showroom"
"All";"All"
"Friends";"Friends"
"Invite your friends to join! Enter up to 10 email addresses separated by commas in the recipients box below. If your friends decide to sign up, a friend request from you will be waiting for them when they first sign in.";"Invite your friends to join! Enter up to 10 email addresses separated by commas in the recipients box below. If your friends decide to sign up, a friend request from you will be waiting for them when they first sign in."
"Send Invites";"Send Invites"
"Separate tags with commas.";"Separate tags with commas."
"Post Update";"Post Update"
"Welcome to your Store. Let's get started!";"Welcome to your Showroom. Let's get started!"
"Add an image";"Add an image"
"Make your Store more recognized by adding an image as it's profile picture.";"Make your Showroom more recognized by adding an image as it's profile picture."
"Upload an image";"Upload an image"
"Post updates";"Post updates"
"Share your updates and latest news with the visitors of this store.";"Share your updates and latest news with the visitors of this Showroom."
"Create Rich Overview";"Create Rich Overview"
"Create a rich profile for your Store.";"Create a rich profile for your Showroom."
"Edit Overview";"Edit Overview"
"Promote to your fans";"Promote to your fans"
"Invite Friends & Fans";"Invite Friends & Fans"
"Invite Friends &amp; Fans";"Invite Friends &amp; Fans"
"Create Offers";"Create Offers"
"Create and display attractive offers on your store.";"Create and display attractive offers on your Showroom."
"Add an Offer";"Add an Offer"
"Add more photos";"Add more photos"
"Create albums and add photos for this store.";"Create albums and add photos for this Showroom."
"Add Photos";"Add Photos"
"Post New Videos";"Post New Videos"
"Post a Video";"Post a Video"
"Add New Documents";"Add New Documents"
"Add and showcase documents on your store.";"Add and showcase documents on your Showroom."
"Add a Document";"Add a Document"
"Write Notes";"Write Notes"
"Share updates and lots more by publishing notes in this blog-like section of your store.";"Share updates and lots more by publishing notes in this blog-like section of your Showroom."
"Create New Events";"Create New Events"
"Organize events for this store.";"Organize events for this Showroom."
"Create New Polls";"Create New Polls"
"Get feedback from visitors to your store.";"Get feedback from visitors to your Showroom."
"Create a Poll";"Create a Poll"
"Post New Topics";"Post New Topics"
"Enable interactions and information sharing on your store using threaded discussions.";"Enable interactions and information sharing on your Showroom using threaded discussions."
"Configure your Form";"Configure your Form"
"Gather useful information from visitors by creating your form with relevant questions.";"Gather useful information from visitors by creating your form with relevant questions."
"Add a Question";"Add a Question"
"Please upgrade your member level.";"Please upgrade your member level."
"Nothing has been posted here yet - be the first!";"Nothing has been posted here yet - be the first!"
"Featured Store Admins";"Featured Showroom Admins"
"Below you can see all the featured admins of this store. Featured admins are shown on the store profile.";"Below you can see all the featured admins of this Showroom. Featured admins are shown on the Showroom profile."
"%s featured store admin";"%s featured Showroom admin";"%s featured Showroom admins"
"Add Featured Store Admins";"Add Featured Showroom Admins"
"No featured admins have been added for this store yet.";"No featured admins have been added for this Showroom yet."
"Remove ";"Remove "
" from my Store's favorites?";" from my Showroom's favorites?"
" from favorites for";" from favorites for"
"Add ";"Add "
" to my Store's favorites?";" to my Showroom's favorites?"
" to favorites for";" to favorites for";" to favorites for"
"Edit location by clicking on ""Edit Location"" below. You can also accurately mark the position of your entity on the map by dragging-and-dropping the marker(shown in red color) on the map at the right position, and then click on ""Save Changes"" to save the position.";"Edit location by clicking on ""Edit Location"" below. You can also accurately mark the position of your entity on the map by dragging-and-dropping the marker(shown in red color) on the map at the right position, and then click on ""Save Changes"" to save the position."
"You have not added a location for your store. Click";"You have not added a location for your Showroom. Click"
"to add it.";"to add it."
"You have already created the maximum number of stores allowed.";"You have already created the maximum number of Showrooms allowed."
"2. Configure your store based on the package you have chosen.";"2. Configure your Showroom based on the package you have chosen."
"Choose a different package";"Choose a different package"
"Your request has been sent successfully. The site administrator will act on your request and you will receive an email correspondingly. You can also track your claims over %1$shere%2$s.";"Your request has been sent successfully. The site administrator will act on your request and you will receive an email correspondingly. You can also track your claims over %1$shere%2$s."
"There are no stores to be claimed yet.";"There are no Showrooms to be claimed yet."
"Photos";"Photos"
"Manage Albums";"Manage Albums"
"Polls";"Polls"
"Badges";"Badges"
"Manage Polls";"Manage Polls"
"Documents";"Documents"
"Manage Documents";"Manage Documents"
"Offers";"Offers"
"Manage Offers";"Manage Offers"
"Manage Form";"Manage Form"
"Videos";"Videos"
"Add and share videos for this store.";"Add and share videos for this Showroom."
"Manage Videos";"Manage Videos"
"Events";"Events"
"Create an Event";"Create an Event"
"Manage Events";"Manage Events"
"Notes";"Notes"
"Write a Note";"Write a Note"
"Manage Notes";"Manage Notes"
"Post a Topic";"Post a Topic"
"Manage Discussions";"Manage Discussions"
"Please upgrade member level.";"Please upgrade member level."
"Delete File Entry?";"Delete File Entry?"
"Are you sure that you want to delete this file entry ? It will not be recoverable after being deleted. Note that deleting it will also delete those entries which were going to be used to import the corresponding Stores from this file.";"Are you sure that you want to delete this file entry ? It will not be recoverable after being deleted. Note that deleting it will also delete those entries which were going to be used to import the corresponding Showrooms from this file."
"Importing file content...";"Importing file content..."
"Are you sure you want to start importing Stores ?";"Are you sure you want to start importing Showrooms ?"
"Importing Stores...";"Importing Showrooms..."
"Importing is done succesfully.";"Importing is done succesfully."
"Sorry for this inconvenience !!";"Sorry for this inconvenience !!"
"Importing is interrupted due to some reason. Please click on 'Import Again' button to start the importing from the same point again.";"Importing is interrupted due to some reason. Please click on 'Import Again' button to start the importing from the same point again."
"Directory/Stores - Videos or Core - Videos Plugin is either not installed or disabled at your site. So, this import tool will not be able to import the data corresponding to Listing Videos.";"Directory/Showrooms - Videos or Core - Videos Plugin is either not installed or disabled at your site. So, this import tool will not be able to import the data corresponding to Listing Videos."
"Directory/Stores - Reviews Plugin is not installed or disabled at your site, so listing import functionality will not import the listing review datas.";"Directory/Showrooms - Reviews Plugin is not installed or disabled at your site, so listing import functionality will not import the listing review datas."
"Start Import";"Start Import"
"Import Again";"Import Again"
"Showing ";"Showing "
" of ";" of "
" files.";" files."
"Id";"Id"
"File Name";"File Name"
"Upload Date / Time";"Upload Date / Time"
"Start";"Start"
"Rollback";"Rollback"
"You have not imported any file yet.";"You have not imported any file yet."
"Pending";"Pending"
"Running";"Running"
"Completed";"Completed"
"Stopped";"Stopped"
"Rollback stores ?";"Rollback Showrooms ?"
"Are you sure that you want to rollback the stores imported from this file ? Doing so will delete all the Stores created through this import.";"Are you sure that you want to rollback the Showrooms imported from this file ? Doing so will delete all the Showrooms created through this import."
"Import History Browser";"Import History Browser"
"Import history is helpful for troubleshooting and debugging. You can track a complete importing process over here. Select the history you would like to view below.";"Import history is helpful for troubleshooting and debugging. You can track a complete importing process over here. Select the history you would like to view below."
"Showing the last %1$s lines, %2$s bytes from the end. The file\'s size is %3$s bytes.";"Showing the last %1$s lines, %2$s bytes from the end. The file\'s size is %3$s bytes."
"2 of ";"2 of "
"albums";"albums"
"1 of ";"1 of "
"See All";"See All"
"of";"of"
"photos by others";"photos by others"
"'s Discussions";"'s Discussions"
"Post New Topic";"Post New Topic"
"No discussion topics have been posted in this Store yet.";"No discussion topics have been posted in this Showroom yet."
"Click %s to start a discussion.";"Click %s to start a discussion."
" &raquo; Discussions ";" &raquo; Discussions "
"This store has been closed by the owner.";"This Showroom has been closed by the owner."
"All Categories";"All Categories"
"<span> %s </span> Monthly Active User";"<span> %s </span> Monthly Active User";"<span> %s </span> Monthly Active Users"
"See All &raquo;";"See All &raquo;"
"Basic Information";"Basic Information"
"Posted:";"Posted:"
"Last Updated:";"Last Updated:"
"Last updated %s";"Last updated %s"
"Total likes";"Total likes"
"'s Map";"'s Map"
"Location Information";"Location Information"
"Formatted Address:";"Formatted Address:"
"Street Address:";"Street Address:"
"City:";"City:"
"City";"City"
"Zipcode:";"Zipcode:"
"State:";"State:"
"Country:";"Country:"
" &raquo; Map ";" &raquo; Map "
"SPONSORED";"SPONSORED"
"Change Picture";"Change Picture"
"FEATURED";"FEATURED"
"%s view";"%s view";"%s views"
"%s Discussion";"%s Discussion";"%s Discussions"
"%s Reply";"%s Reply";"%s Replies"
"'s Overview";"'s Overview"
"No overview has been composed for this Store yet.";"No overview has been composed for this Showroom yet."
" to compose it.";" to compose it."
"Click ";"Click "
" &raquo; Overview ";" &raquo; Overview "
"Create an Ad";"Create an Ad"
"More Ads";"More Ads"
"Cancel reporting this ad";"Cancel reporting this ad"
"Undo";"Undo"
"Do you want to report this? Why didn't you like it?";"Do you want to report this? Why didn't you like it?"
"Misleading";"Misleading"
"Offensive";"Offensive"
"Inappropriate";"Inappropriate"
"Licensed Material";"Licensed Material"
"Other";"Other"
"Specify your reason here..";"Specify your reason here.."
"Report this ad";"Report this ad"
"You like this.";"You like this."
"%s person likes this.";"%s person likes this.";"%s people like this."
"%s other likes this.";"%s other likes this.";"%s others like this."
"You and %s";"You and %s"
"%s %s";"%s %s"
"Unlike";"Unlike"
"Like";"Like"
"Invite Friends";"Invite Friends"
"Nobody has created a store with that criteria. Be the first to %1$screate%2$s one!";"Nobody has created a Showroom with that criteria. Be the first to %1$screate%2$s one!"
"No Stores have been created yet.";"No Showrooms have been created yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"'s Photos ";"'s Photos "
"Create an Album";"Create an Album"
"%s Photo Album";"%s Photo Album";"%s Photo Albums"
" &raquo; Photos ";" &raquo; Photos "
"View All Stores";"View All Showrooms"
"All Stores";"All Showrooms"
"Map View";"Map View"
"Grid View";"Grid View"
"List View";"List View"
"View Store &raquo;";"View Showroom &raquo;"
"More &raquo;";"More &raquo;"
"Popular Store Tags";"Popular Showroom Tags"
"%1$s\'s Tags";"%1$s\'s Tags"
"More";"More"
"Write something about";"Write something about"
"Write something about ";"Write something about "
"Edit Store Profile Info";"Edit Showroom Profile Info"
"Profile information enables you to add additional information about your store depending on its category. This non-generic additional information will help others know more specific details about your store.";"Profile information enables you to add additional information about your Showroom depending on its category. This non-generic additional information will help others know more specific details about your Showroom."
"Designation";"Designation"
"Salary";"Salary"
"Save Info";"Save Info"
"Reviews";"Reviews"
"Separate multiple addresses with commas.";"Separate multiple addresses with commas."
"view";"view"
"Check Availability";"Check Availability"
"cancel";"cancel"
"Delicious";"Delicious"
"Digg";"Digg"
"Facebook";"Facebook"
"Fark";"Fark"
"MySpace";"MySpace"
"Twitter";"Twitter"
"Google Buzz";"Google Buzz"
"Updates";"Updates"
"Cancel";"Cancel"
"Do you want to report this?";"Do you want to report this?"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."
"Create New";"Creatre New"
"Duplicate Existing";"Duplicate Existing"
"Hide on the search options";"Hide on the search options"
"Show on the search options";"Show on the search options"
"Are you sure you want to delete this field?";"Are you sure you want to delete this field?"
"Are you sure you want to delete the current profile type?";"Are you sure you want to delete the current profile type?"
"Stores Home";"Showrooms Home"
"Website: ";"Website: "
"Email: ";"Email: "
"Phone: ";"Phone: "
"min ";"min "
"max";"max"
"Add Link";"Add Link"
"Attach";"Attach"
"Directory / Stores";"Directory / Showrooms"
"Edit Profile Type";"Edit Profile Type"
"Choice Label";"Choice Label"
"Edit Choice";"Edit Choice"
"You have not created any badges yet. Get started by ";"You have not created any badges yet. Get started by "
"creating";"creating"
" one.";" one."
"Facebook Store URL";"Facebook Showroom URL"
"Facebook Like Box";"Facebook Like Box"
"Link your Store to Facebook";"Link your Showroom to Facebook"
"Publish your Store's updates to your Facebook Store and show your Facebook Store Like Box on your Store.";"Publish your Showroom's updates to your Facebook Showroom and show your Facebook Showroom Like Box on your Showroom."
"Show your Facebook Store Like Box on your Store.";"Show your Facebook Showroom Like Box on your Showroom."
"Publish your Store's updates to your Facebook Store.";"Publish your Showroom's updates to your Facebook Showroom."
"My Community";"My Community"
"Edit Layout";"Edit Layout"
"Price (US Dollar)";"Price (US Dollar)"
"Enable 'Send an Update' for stores of this package. (Using this, store admins will be able send an update  for their stores' entity. Store Admins will get this option in the ""Marketing"" section of their Dashboard.)";"Enable 'Send an Update' for Showrooms of this package. (Using this, Showroom admins will be able send an update  for their Showrooms' entity. Showroom Admins will get this option in the ""Marketing"" section of their Dashboard.)"
"First Approved on ";"First Approved on "
"Active User";"Active User"
"<span> %s </span> Active User";"<span> %s </span> Active User";"<span> %s </span> Active Users"
" - posted by ";" - posted by "
"Stop";"Stop"
"Play";"Play"
"Post Comment";"Post Comment"
"Spam";"Spam"
"Abuse";"Abuse"
"(select)";"(select)"
"Inappropriate Content";"Inappropriate Content"
"Submit Report";"Submit Report"
"Post Something...";"Post Something..."
"More +";"More +"
"Hide this photo";"Hide this photo"
"Reset Photo Strip";"Reset Photo Strip"
"Share this by re-posting it with your own message.";"Share this by re-posting it with your own message."
"First Name";"First Name"
"Last Name";"Last Name"
"Gender";"Gender"
"Birthdate";"Birthdate"
"About Me";"About Me"
"AIM";"AIM"
"Interests";"Interests"
"Single-line Text Input";"Single-line Text Input"
"Multi-line Text Input";"Multi-line Text Input"
"Select Box";"Select Box"
"Radio Buttons";"Radio Buttons"
"Single Checkbox";"Single Checkbox"
"Multi Select Box";"Multi Select Box"
"Multi Checkbox";"Multi Checkbox"
"Integer";"Integer"
"Float";"Float"
"Heading";"Heading"
"Zip Code";"Zip Code"
"Relationship Status";"Relationship Status"
"Looking For";"Looking For"
"Interested In";"Interested In"
"Education";"Education"
"Ethnicity";"Ethnicity"
"Income";"Income"
"Occupation";"Occupation"
"Political Views";"Political Views"
"Religion";"Religion"
"Weight";"Weight"
"Zodiac";"Zodiac"
"Eye Color";"Eye Color"
"Generic";"Generic"
"Specific";"Specific"
"Ok";"Ok"
"End date: ";"End date: "
"URL:";"URL:"
"Link ";"Link "
"  to your Store:";"  to your Showroom:"
"Select your Store to be linked to ";"Select your Showroom to be linked to "
"Unlink ";"Unlink "
" from your Store:";" from your Showroom:"
"Select your Store to be unlinked from ";"Select your Showroom to be unlinked from "
"Unlink";"Unlink"
"Link";"Link"
"Your Store has been successfully linked.";"Your Showroom has been successfully linked."
"Your Store has been successfully unlinked.";"Your Showroom has been successfully unlinked."
"_SITESTORE_INSIGHTS_ALL";"Insights"
"_SITESTORE_INSIGHTS_ACTIVE_USERS";"Active Users"
"_SITESTORE_INSIGHTS_VIEW";"Views"
"_SITESTORE_INSIGHTS_LIKE";"Likes"
"_SITESTORE_INSIGHTS_COMMENT";"Comments"
" week";" week"
" month";" month"
"Administrator's Comments: ";"Administrator's Comments: "
"ITEM_TYPE_SITESTORE_TOPIC";"Showroom Discussion Topics"
"ITEM_TYPE_SITESTORE_POST";"Showroom Discussion Posts"
"ITEM_TYPE_SITESTORE_STORE";"Showrooms"
"ITEM_TYPE_SITESTORE_PHOTO";"Showroom Albums"
"ADMIN_ACTIVITY_TYPE_SITESTORE_NEW";"When someone creates a new Showroom."
"ADMIN_ACTIVITY_TYPE_COMMENT_SITESTORE_STORE";"When someone comments one of my Showroom."
"_ACTIVITY_ACTIONTYPE_COMMENT_SITESTORE_STORE";"Comments on your Showrooms"
"_ACTIVITY_ACTIONTYPE_SITESTORE_NEW";"New Showrooms"
"ACTIVITY_TYPE_SITESTORE_MANAGEADMIN";"When I am made the administrator of a Showroom."
"ACTIVITY_TYPE_SITESTORE_DISCUSSION_REPLY";"When people reply to discussion topics that I've replied to."
"ACTIVITY_TYPE_SITESTORE_DISCUSSION_RESPONSE";"When people reply to discussion topics that I create."
"ACTIVITY_TYPE_SITESTORE_INSIGHTS";"Periodic statistical insights of my Showrooms."
"_EMAIL_SITESTORE_INSIGHTS_EMAIL_NOTIFICATION_TITLE";"Showroom Insights Email Notification"
"_EMAIL_SITESTORE_INSIGHTS_EMAIL_NOTIFICATION_DESCRIPTION";"This email gets send to the members when they want to recieve their Showroom insights periodically."
"_EMAIL_SITESTORE_INSIGHTS_EMAIL_NOTIFICATION_SUBJECT";"Your[days]ly [site_title] Showroom Update"
"_EMAIL_SITESTORE_INSIGHTS_EMAIL_NOTIFICATION_BODY";"
[template_header]
[header]

Here is this[days]'s summary for your [site_title] Showroom:

[message]

[footer]
[template_footer]"
"_EMAIL_DISPUTE_EMAIL_TITLE";"Dispute"
"_EMAIL_DISPUTE_EMAIL_DESCRIPTION";"This is the email that goes to a member when they disputed a Showroom and  request has been approved/declined/hold."
"_EMAIL_DISPUTE_EMAIL_SUBJECT";"Dispute approval/declined/hold."
