"Search for...";"Search products you are looking for.."
"VIDEO_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per consumer level basis. Start by selecting the consumer level you want to modify, then adjust the settings for that level below."
"NETWORK_FORM_ADMIN_NETWORK_DESCRIPTION";"If you decide to have consumers join this network automatically (based on their profile information), you will need to select a profile field and provide a matching value. When consumers enter that value when creating or editing their profile, they will automatically join this network. You can choose to ""hide"" this network if you want consumers to belong to it invisibly. This means that only you will know what consumers belong to the network."
"NETWORK_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Networks are generally used for determining what consumers see in the ""what's new"" feed, letting consumers associate with each other based on common profile information (without needing to be friends directly), and serving advertisements to specific groups of consumers. Each consumer can join one or more networks if you allow them to, and their networks will be shown on their profile. If you decide to have networks, be sure that they relate to your community's theme. For example, if your community has consumers from various countries, you can create a network for each country. If you want your consumers to see recent posts from other people in their networks (even if they're not yet friends with each other), you can adjust that setting %s."
"POLL_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per consumer level basis. Start by selecting the consumer level you want to modify, then adjust the settings for that level below."
"This group has %s member waiting for approval or waiting for an invite response.";"This group has %s consumer waiting for approval or waiting for an invite response.";"This group has %s consumers waiting for approval or waiting for an invite response."
"total members";"total consumers"
"Remove Member";"Remove Consumer"
"You are now a member of this group.";"You are now a consumer of this group."
"Group membership request sent";"Your group membership request has been sent."
"Group membership request cancelled.";"Your group membership request has been cancelled."
"Member Promoted";"This consumer has been successfully promoted."
"Member Demoted";"This consumer has been successfully demoted."
"Group member removed.";"This consumer has been successfully removed from the group."
"Members invited";"The selected consumers have been successfully invited."
"Group request approved";"This consumer's group request has been approved."
"Member title changed";"This consumer's title has been successfully changed."
"Approve Group Membership Request";"Approve Group Membership Request"
"Would you like to approve the request for membership in this group?";"Would you like to approve the request for membership in this group?"
"Cancel Group Membership Request";"Cancel Group Membership Request"
"Would you like to cancel your request for membership in this group?";"Would you like to cancel your request for membership in this group?"
"Demote Member";"Demote Consumer"
"Are you sure you want to demote this member from officer?";"Are you sure you want to demote this consumer from officer?"
